identifierHash	country	language	socialNbFollowers	socialNbFollows	socialProductsLiked	productsListed	productsSold	productsPassRate	productsWished	gender	civilityTitle	hasAnyApp	hasAndroidApp	hasIosApp	hasProfilePicture	seniority	seniorityAsMonths	seniorityAsYears	y_value	Validation
5.49335E+18	Royaume-Uni	en	4	8	0	0	0	0	0	Male	mr	FALSE	FALSE	FALSE	TRUE	3203	106.77	8.9	FALSE	Validation
-7.47691E+18	Canada	en	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3197	106.57	8.88	FALSE	Training
6.03858E+18	Espagne	es	3	8	0	0	0	0	0	Male	mr	FALSE	FALSE	FALSE	TRUE	2856	95.2	7.93	FALSE	Training
-2.06938E+18	Allemagne	de	3	8	14	0	0	0	0	Female	mrs	TRUE	FALSE	TRUE	TRUE	2856	95.2	7.93	FALSE	Training
-1.62206E+18	Etats-Unis	en	3	8	1	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3196	106.53	8.88	FALSE	Training
7.24959E+18	Australie	en	4	8	0	0	0	0	0	Female	mrs	TRUE	FALSE	TRUE	TRUE	2857	95.23	7.94	FALSE	Validation
-8.35697E+18	France	fr	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3198	106.6	8.88	FALSE	Training
8.40761E+18	Etats-Unis	en	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	2853	95.1	7.92	FALSE	Training
-6.94664E+17	Etats-Unis	en	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3200	106.67	8.89	FALSE	Training
9.14095E+18	France	fr	4	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	2857	95.23	7.94	FALSE	Validation
-1.42778E+18	Pays-Bas	en	3	8	8	0	0	0	0	Female	miss	FALSE	FALSE	FALSE	FALSE	3199	106.63	8.89	FALSE	Validation
5.32603E+18	Su?de	en	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3201	106.7	8.89	FALSE	Training
1.23903E+18	France	fr	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3203	106.77	8.9	FALSE	Validation
-6.9862E+18	Su?de	en	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3198	106.6	8.88	FALSE	Training
-4.16164E+18	Italie	it	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	2858	95.27	7.94	FALSE	Training
1.20299E+17	Royaume-Uni	en	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3202	106.73	8.89	FALSE	Training
-7.62094E+18	Etats-Unis	en	3	8	5	0	0	0	1	Female	mrs	FALSE	FALSE	FALSE	TRUE	2855	95.17	7.93	FALSE	Validation
3.91887E+18	France	fr	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3199	106.63	8.89	FALSE	Training
4.92157E+18	Etats-Unis	en	4	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3200	106.67	8.89	FALSE	Training
-1.70419E+18	Etats-Unis	en	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3200	106.67	8.89	FALSE	Training
-6.17412E+18	Danemark	fr	4	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3205	106.83	8.9	FALSE	Training
-5.27875E+18	Italie	it	3	8	9	0	0	0	0	Male	mr	TRUE	FALSE	TRUE	TRUE	2853	95.1	7.92	FALSE	Training
2.63131E+18	Etats-Unis	en	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3200	106.67	8.89	FALSE	Training
6.55602E+18	France	fr	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3198	106.6	8.88	FALSE	Training
8.48861E+17	France	fr	3	8	0	0	0	0	0	Male	mr	FALSE	FALSE	FALSE	TRUE	3200	106.67	8.89	FALSE	Validation
1.87131E+18	France	fr	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	2853	95.1	7.92	FALSE	Training
7.3105E+18	Etats-Unis	en	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	2855	95.17	7.93	FALSE	Validation
8.51905E+17	Canada	fr	3	8	0	0	0	0	0	Male	mr	FALSE	FALSE	FALSE	TRUE	2853	95.1	7.92	FALSE	Validation
-8.86319E+18	Allemagne	en	3	8	0	0	0	0	0	Male	mr	FALSE	FALSE	FALSE	TRUE	3199	106.63	8.89	FALSE	Training
5.46347E+18	Royaume-Uni	en	3	8	0	0	0	0	0	Female	mrs	FALSE	FALSE	FALSE	TRUE	3200	106.67	8.89	FALSE	Validation
-2.29483E+18	Roumanie	en	3	8	0	0	0	0	0	Female	mrs	TRUE	FALSE	TRUE	TRUE	3195	106.5	8.88	FALSE	Validation
